junction	genome	genome.anomaly	genome.pval	reg	reg.anomaly	reg.pval	junc	junc.anom	junc.pval	FarJunc	FarJunc.anom	FarJunc.pval	unaligned	NoPartner	NetPValue	X_1NoIndels.Indels	X_2NoIndels.Indels	badfj1is1	badfj2is1	ExonL	ExonR	numReads.x	logsum_2.x	productPhat_lower.x	productPhat.x	junction_cdf.x	junction_cdf_lower.x	numReads.y	logsum_2.y	productPhat_lower.y	productPhat.y	junction_cdf.y	junction_cdf_lower.y	junction_cdf_windel_diff	sample	sampleType	chr1	gene1	pos1	strand1	chr2	gene2	pos2	strand2	type	discrete_p	emp_p	sinfo	fusionInfo	sampleid
1	chr6:RPL10A:35438086:-:chr8:NAT2:18240998:+:no_fusion,num=2,score=0.0,gap=0	0	14	-	0	3	-	0	0	-	10	0	0.125371784279	2	0	0.125371784279	26:0	10:0	0	0	12	0	11	-12.1090810508666	5.50925556076393e-06	1.08788822986607e-05	0.271	0.238	11	-12.1090810508666	5.50925556076393e-06	1.08788822986607e-05	0.306	0.269	0	spork_1_Fetal_Stomach_408_GTGAAA_L006_naive_report_Appended.txt	normal_fetal_8_15	chr6	RPL10A	35438086	-	chr8	NAT2	18240998	+	no_fusion,num=2,score=0.0,gap=0	0.31	0	spork_1_Fetal_Stomach_408_GTGAAA_L006_naive_report_Appended.txt normal_fetal_8_15	chr6:RPL10A:35438086:-:chr8:NAT2:18240998:+:no_fusion,num=2,score=0.0,gap=0	1
2	chr7:CAV1:116199654:+:chr8:KCNV1:111668021:-:no_fusion,num=6,score=0.141176470588,gap=0	0	6	-	0	0	-	0	0	-	0	0	-	1	0	-	0	7:0	0	0	127	0	4	-3.89426629320024	0.0203583059983437	0.0334654928270443	0.345	0.312	4	-3.89426629320024	0.0203583059983437	0.0334654928270443	0.339	0.305	0	spork_1_Fetal_Stomach_408_GTGAAA_L006_naive_report_Appended.txt	normal_fetal_8_15	chr7	CAV1	116199654	+	chr8	KCNV1	111668021	-	no_fusion,num=6,score=0.141176470588,gap=0	0.34	0	spork_1_Fetal_Stomach_408_GTGAAA_L006_naive_report_Appended.txt normal_fetal_8_15	chr7:CAV1:116199654:+:chr8:KCNV1:111668021:-:no_fusion,num=6,score=0.141176470588,gap=0	1
3	chr13:ATP8A2:26370354:-:chr3:LPP:188600777:+:no_fusion,num=7,score=0.0,gap=0	7	1	0.973727390538	0	0	-	0	0	-	1	0	0.320616900764	1	0	0.980870648787	9:0	3:0	0	0	8	117	3	-4.01305837511345	0.0180780212324874	0.100845894091108	0.269	0.193	3	-4.01305837511345	0.0180780212324874	0.100845894091108	0.24	0.154	0	spork_1_Fetal_Stomach_403b_AGTTCC_L006_naive_report_Appended.txt	normal_fetal_8_15	chr13	ATP8A2	26370354	-	chr3	LPP	188600777	+	no_fusion,num=7,score=0.0,gap=0	0.24	0	spork_1_Fetal_Stomach_403b_AGTTCC_L006_naive_report_Appended.txt normal_fetal_8_15	chr13:ATP8A2:26370354:-:chr3:LPP:188600777:+:no_fusion,num=7,score=0.0,gap=0	2
4	chr9:GTF3C5:135894824:-:chr6:EEF1A1:74230742:+:no_fusion,num=3,score=0.0,gap=0	1	2	0.981314360662	0	4	-	0	0	-	1	0	0.0508665910023	0	0	0.709553702547	1:0	7:0	0	0	23	0	3	-4.32427611762369	0.0132431330982965	0.0392768262009751	0.239	0.208	3	-4.32427611762369	0.0132431330982965	0.0392768262009751	0.243	0.2	0	spork_1_Fetal_Stomach_397_CCGTCC_L007_naive_report_Appended.txt	normal_fetal_8_15	chr9	GTF3C5	135894824	-	chr6	EEF1A1	74230742	+	no_fusion,num=3,score=0.0,gap=0	0.24	0	spork_1_Fetal_Stomach_397_CCGTCC_L007_naive_report_Appended.txt normal_fetal_8_15	chr9:GTF3C5:135894824:-:chr6:EEF1A1:74230742:+:no_fusion,num=3,score=0.0,gap=0	3
5	chrX:MTRNR2L10:55209699:+:chrM:None:1364:+:no_fusion,num=2,score=0.0,gap=0	6	0	0.910375475084	0	0	-	0	0	-	1	0	0.139285763312	0	0	0.89991641876	1:0	7:0	0	0	0	0	4	-2.48412838728388	0.0833982137857471	0.376806332170566	0.54	0.387	4	-2.48412838728388	0.0833982137857471	0.376806332170566	0.531	0.372	0	spork_1_Fetal_Stomach_397_CCGTCC_L007_naive_report_Appended.txt	normal_fetal_8_15	chrX	MTRNR2L10	55209699	+	chrM	None	1364	+	no_fusion,num=2,score=0.0,gap=0	0.53	0	spork_1_Fetal_Stomach_397_CCGTCC_L007_naive_report_Appended.txt normal_fetal_8_15	chrX:MTRNR2L10:55209699:+:chrM:None:1364:+:no_fusion,num=2,score=0.0,gap=0	3
6	chr5:MTRNR2L2:79946746:+:chrM:None:1970:-:no_fusion,num=3,score=0.0,gap=0	6	0	0.999981352378	0	0	-	0	0	-	2	0	0.566529879633	0	0	0.99996005379	8:0	2:0	0	0	0	0	3	-1.80204961329644	0.164960436388574	0.493985533375383	0.463	0.345	3	-1.80204961329644	0.164960436388574	0.493985533375383	0.456	0.337	0	spork_1_Fetal_Stomach_397_CCGTCC_L007_naive_report_Appended.txt	normal_fetal_8_15	chr5	MTRNR2L2	79946746	+	chrM	None	1970	-	no_fusion,num=3,score=0.0,gap=0	0.46	0	spork_1_Fetal_Stomach_397_CCGTCC_L007_naive_report_Appended.txt normal_fetal_8_15	chr5:MTRNR2L2:79946746:+:chrM:None:1970:-:no_fusion,num=3,score=0.0,gap=0	3
7	chr11:MIR4485:10530105:+:chrM:None:2304:-:no_fusion,num=2,score=0.0,gap=0	23	1	0.976205907282	0	0	-	0	0	-	1	0	0.00445598077525	5	0	0.95404206085	30:0	1:0	0	0	0	0	14	-21.800977375707	3.40373566761362e-10	9.68790621590476e-05	0.451	0.066	14	-21.800977375707	3.40373566761362e-10	9.68790621590476e-05	0.448	0.071	0	spork_1_Fetal_Stomach_361_GCCAAT_L008_naive_report_Appended.txt	normal_fetal_8_15	chr11	MIR4485	10530105	+	chrM	None	2304	-	no_fusion,num=2,score=0.0,gap=0	0.45	0	spork_1_Fetal_Stomach_361_GCCAAT_L008_naive_report_Appended.txt normal_fetal_8_15	chr11:MIR4485:10530105:+:chrM:None:2304:-:no_fusion,num=2,score=0.0,gap=0	4
8	chr1:CDC73:194329036:-:chr13:ZDHHC20:21947654:+:no_fusion,num=2,score=0.0,gap=0	2	1	0.956460423762	0	0	-	0	0	-	0	0	-	1	0	0.956460423762	4:0	0	0	0	25	30	2	-1.37076950020062	0.253911499409399	0.821309958343736	0.473	0.241	2	-1.37076950020062	0.253911499409399	0.821309958343736	0.45	0.254	0	spork_1_Fetal_Stomach_361_GCCAAT_L008_naive_report_Appended.txt	normal_fetal_8_15	chr1	CDC73	194329036	-	chr13	ZDHHC20	21947654	+	no_fusion,num=2,score=0.0,gap=0	0.45	0	spork_1_Fetal_Stomach_361_GCCAAT_L008_naive_report_Appended.txt normal_fetal_8_15	chr1:CDC73:194329036:-:chr13:ZDHHC20:21947654:+:no_fusion,num=2,score=0.0,gap=0	4
9	chr19:ZNF254:24232352:+:chr19:ZNF91:23688783:-:no_fusion,num=2,score=0.0,gap=0	2	2	0.860474588991	0	1	-	0	0	-	1	0	0.0526530173437	0	0	0.595764592528	3:0	4:0	0	0	4	19	3	-2.26638917261128	0.103685896839838	0.291256183212746	0.375	0.279	3	-2.26638917261128	0.103685896839838	0.291256183212746	0.365	0.28	0	spork_1_Fetal_Stomach_361_GCCAAT_L008_naive_report_Appended.txt	normal_fetal_8_15	chr19	ZNF254	24232352	+	chr19	ZNF91	23688783	-	no_fusion,num=2,score=0.0,gap=0	0.36	0	spork_1_Fetal_Stomach_361_GCCAAT_L008_naive_report_Appended.txt normal_fetal_8_15	chr19:ZNF254:24232352:+:chr19:ZNF91:23688783:-:no_fusion,num=2,score=0.0,gap=0	4
10	chr11:MTRNR2L8:10530633:+:chr3:EPHA6:96336902:-:no_fusion,num=3,score=0.0,gap=0	0	7	-	0	0	-	0	0	-	0	0	-	1	0	-	0	8:0	0	0	0	1	4	-3.00627789599478	0.0494754893843197	0.0529372358402335	0.345	0.337	4	-3.00627789599478	0.0494754893843197	0.0529372358402335	0.293	0.286	0	spork_1_Fetal_Lung_397_ATGTCA_L008_naive_report_Appended.txt	normal_fetal_8_15	chr11	MTRNR2L8	10530633	+	chr3	EPHA6	96336902	-	no_fusion,num=3,score=0.0,gap=0	0.29	0	spork_1_Fetal_Lung_397_ATGTCA_L008_naive_report_Appended.txt normal_fetal_8_15	chr11:MTRNR2L8:10530633:+:chr3:EPHA6:96336902:-:no_fusion,num=3,score=0.0,gap=0	5
